TimeStamp,HumanReadableTime,Heading
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,233.893250
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,232.544159
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,230.983215
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,229.691071
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,228.187485
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,227.145782
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,228.204681
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,229.510132
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,227.900909
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,229.047226
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,227.184937
2016-05-09 22:11:09 +0000,2016-05-09 22:11:09 +0000,228.326538
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,229.812622
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,231.226730
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,229.679428
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,228.029144
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,226.793610
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,225.584717
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,224.332596
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,223.203308
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,221.870956
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,220.735977
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,223.977051
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,225.629074
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,226.912384
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,225.872437
2016-05-09 22:11:10 +0000,2016-05-09 22:11:10 +0000,228.426376
2016-05-09 22:11:10 +0000,2016-05-09 22:11:11 +0000,232.505493
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,233.529694
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,235.108002
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,236.335190
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,237.906555
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,240.893967
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,242.284668
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,243.293152
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,241.086182
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,238.853241
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,237.647629
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,239.635635
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,240.697113
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,239.508209
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,238.043152
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,236.945084
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,238.315964
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,240.325943
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,242.862213
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,244.213669
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,243.212463
2016-05-09 22:11:11 +0000,2016-05-09 22:11:11 +0000,241.382614
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,243.291290
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,244.302124
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,245.712769
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,247.338242
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,250.016785
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,251.581833
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,253.783401
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,251.296967
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,249.413132
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,247.807159
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,249.477036
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,246.675659
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,244.117538
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,245.371216
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,243.815170
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,244.884811
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,248.831573
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,249.935486
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,245.248627
2016-05-09 22:11:12 +0000,2016-05-09 22:11:12 +0000,246.425110
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,247.580612
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,246.373016
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,247.727875
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,249.423706
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,252.877655
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,254.034409
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,250.582718
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,248.575272
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,244.661530
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,241.334290
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,239.483795
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,237.660889
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,235.959763
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,234.382538
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,233.227875
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,234.904694
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,236.152649
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,237.398102
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,234.468750
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,231.920166
2016-05-09 22:11:13 +0000,2016-05-09 22:11:13 +0000,233.126053
2016-05-09 22:11:13 +0000,2016-05-09 22:11:14 +0000,231.327499
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,228.862885
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,229.868484
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,230.893646
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,232.473511
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,230.379639
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,228.414536
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,227.015167
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,226.014374
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,223.699936
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,221.333344
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,220.286789
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,219.090973
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,217.250275
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,215.484802
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,214.463776
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,212.927856
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,215.169830
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,213.880051
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,215.350769
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,218.423981
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,219.602310
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,218.523590
2016-05-09 22:11:14 +0000,2016-05-09 22:11:14 +0000,217.371887
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,214.124847
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,211.241653
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,209.285812
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,207.391586
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,205.456802
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,203.585892
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,202.436905
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,201.428925
2016-05-09 22:11:15 +0000,2016-05-09 22:11:15 +0000,199.121368
