Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery,ETA
1461766326.999985,42.356501,-71.097288,6.992214,25.000000,21.796875,1.170000,0.870000,1816.779794
1461766327.999985,42.356505,-71.097275,7.195034,25.000000,21.796875,1.030000,0.870000,1680.852730
1461766328.999986,42.356507,-71.097262,7.154964,25.000000,21.796875,0.950000,0.870000,2747.352617
1461766329.999985,42.356507,-71.097252,7.307186,25.000000,21.796875,0.740000,0.870000,-35927.433656
1461766330.999985,42.356510,-71.097238,7.611050,25.000000,66.093750,1.300000,0.870000,554.244858
1461766331.999985,42.356513,-71.097224,8.196529,25.000000,66.796875,1.090000,0.870000,188.630329
1461766332.999984,42.356516,-71.097212,7.652767,25.000000,67.148438,1.090000,0.870000,140.786938
1461766333.999986,42.356517,-71.097200,7.423214,25.000000,67.148438,1.080000,0.870000,134.444729
1461766334.999985,42.356519,-71.097188,6.756008,25.000000,67.500000,1.130000,0.870000,121.456260
1461766335.999986,42.356519,-71.097181,7.001797,25.000000,67.500000,1.080000,0.870000,122.601672
1461766336.999985,42.356524,-71.097165,6.833187,25.000000,67.500000,1.130000,0.870000,117.673803
1461766337.999985,42.356532,-71.097151,8.013973,25.000000,66.796875,1.260000,0.870000,130.992047
1461766338.999986,42.356539,-71.097135,8.442806,25.000000,73.828125,1.190000,0.870000,112.666693
1461766339.999985,42.356545,-71.097119,8.669552,25.000000,73.125000,1.250000,0.870000,121.168867
1461766340.999985,42.356551,-71.097103,8.702243,25.000000,72.070312,1.250000,0.870000,686.191466
1461766341.999985,42.356556,-71.097084,8.965814,25.000000,72.421875,1.420000,0.870000,403.090727
1461766342.999985,42.356562,-71.097065,8.887036,25.000000,72.421875,1.430000,0.870000,354.192971
1461766343.999985,42.356568,-71.097047,8.725985,25.000000,72.773438,1.270000,0.870000,191.231767
1461766344.999986,42.356574,-71.097029,8.438968,25.000000,72.773438,1.490000,0.870000,148.510567
1461766345.999985,42.356580,-71.097011,8.388439,25.000000,72.773438,1.320000,0.870000,151.269845
1461766346.999985,42.356588,-71.096993,8.066497,25.000000,72.421875,1.320000,0.870000,229.777015
1461766347.999986,42.356596,-71.096977,7.950241,25.000000,72.070312,1.220000,0.870000,612.153693
1461766348.999985,42.356604,-71.096963,7.985565,25.000000,72.070312,1.220000,0.870000,627.693685
1461766349.999985,42.356610,-71.096947,7.981099,25.000000,72.070312,1.220000,0.870000,537.678847
1461766350.999984,42.356616,-71.096931,7.978231,25.000000,76.640625,1.230000,0.870000,-125.963121
1461766351.999986,42.356621,-71.096916,7.732229,25.000000,71.367188,1.250000,0.870000,-162.665561
1461766352.999986,42.356621,-71.096900,7.559338,25.000000,72.773438,1.210000,0.870000,226.280750
1461766353.999985,42.356623,-71.096884,7.401840,25.000000,63.281250,1.290000,0.870000,-231.075284
1461766354.999985,42.356628,-71.096867,7.398180,25.000000,62.929688,1.290000,0.870000,-283.350321
1461766355.999985,42.356634,-71.096849,7.391710,25.000000,59.765625,1.370000,0.870000,573.633134
1461766356.999986,42.356639,-71.096832,7.467605,25.000000,60.468750,1.370000,0.870000,114.303391
1461766357.999986,42.356644,-71.096815,7.425743,25.000000,60.468750,1.170000,0.870000,106.638426
1461766358.999985,42.356648,-71.096798,7.419928,25.000000,60.468750,1.320000,0.870000,96.508053
1461766359.999986,42.356653,-71.096779,7.456603,25.000000,60.468750,1.320000,0.870000,94.415771
1461766360.999985,42.356657,-71.096760,7.531606,25.000000,60.468750,1.320000,0.870000,95.553259
1461766361.999985,42.356660,-71.096742,7.508821,25.000000,60.468750,1.290000,0.870000,102.066088
1461766362.999984,42.356664,-71.096726,7.536986,25.000000,60.468750,1.150000,0.870000,113.873652
1461766363.999985,42.356671,-71.096711,7.615848,25.000000,68.906250,1.150000,0.870000,249.723174
1461766364.999985,42.356679,-71.096695,7.703038,25.000000,75.585938,1.150000,0.870000,-611.023368
1461766365.999984,42.356684,-71.096678,7.509135,25.000000,74.531250,1.150000,0.870000,154.997867
1461766366.999985,42.356687,-71.096662,7.429165,25.000000,74.882812,1.100000,0.870000,162.440006
1461766367.999985,42.356688,-71.096647,7.594351,25.000000,74.531250,1.100000,0.870000,104.730407
1461766368.999985,42.356690,-71.096631,7.618202,25.000000,74.179688,1.100000,0.870000,82.101940
1461766369.999984,42.356695,-71.096619,7.492693,25.000000,72.421875,0.880000,0.870000,327.714824
1461766370.999985,42.356701,-71.096608,7.412408,25.000000,72.070312,1.010000,0.870000,-634.078064
1461766371.999984,42.356708,-71.096593,7.249611,25.000000,69.960938,1.360000,0.870000,-100.382469
1461766372.999985,42.356715,-71.096575,7.271218,25.000000,72.773438,1.470000,0.870000,205.257692
1461766373.999985,42.356721,-71.096557,7.294857,25.000000,74.882812,1.360000,0.870000,137.270479
1461766374.999986,42.356728,-71.096540,7.284811,25.000000,71.015625,1.420000,0.870000,-90.201420
1461766375.999984,42.356736,-71.096522,7.325346,25.000000,68.554688,1.420000,0.870000,386.473281
1461766376.999985,42.356744,-71.096504,7.318153,25.000000,65.039062,1.470000,0.870000,-115.035044
1461766377.999985,42.356752,-71.096483,7.389306,25.000000,64.687500,1.470000,0.870000,-66.412481
1461766378.999985,42.356759,-71.096464,7.405154,25.000000,65.390625,1.410000,0.870000,-141.210283
1461766379.999986,42.356763,-71.096445,7.374193,25.000000,70.664062,1.300000,0.870000,-63.172203
1461766380.999985,42.356767,-71.096428,7.339777,25.000000,75.234375,1.090000,0.870000,-180.423937
1461766381.999986,42.356771,-71.096411,7.320459,25.000000,75.585938,1.370000,0.870000,-128.373159
1461766382.999986,42.356780,-71.096394,7.425149,25.000000,68.554688,1.300000,0.870000,1383.707093
1461766383.999985,42.356790,-71.096380,7.470478,25.000000,63.984375,1.300000,0.870000,-64.329348
1461766384.999986,42.356797,-71.096365,7.319932,25.000000,61.875000,1.390000,0.870000,-1013.632235
1461766385.999985,42.356805,-71.096348,7.416080,25.000000,61.171875,1.400000,0.870000,87.757992
1461766386.999985,42.356813,-71.096330,7.429329,25.000000,61.171875,1.390000,0.870000,80.918663
1461766387.999985,42.356818,-71.096316,7.392195,25.000000,61.875000,1.310000,0.870000,-1386.812943
1461766388.999985,42.356822,-71.096303,7.329577,25.000000,61.523438,1.090000,0.870000,688.883622
1461766389.999985,42.356826,-71.096289,7.358535,25.000000,61.523438,1.060000,0.870000,506.633964
1461766390.999985,42.356830,-71.096273,7.341989,25.000000,61.171875,1.180000,0.870000,113.559752
1461766391.999986,42.356834,-71.096258,7.213379,25.000000,61.171875,1.060000,0.870000,96.309480
1461766392.999986,42.356840,-71.096246,7.275517,25.000000,61.171875,1.040000,0.870000,126.702545
1461766393.999985,42.356846,-71.096233,7.275671,25.000000,60.468750,1.040000,0.870000,69.504838
1461766394.999985,42.356853,-71.096217,7.256567,25.000000,61.171875,1.260000,0.870000,368.282086
1461766395.999985,42.356860,-71.096199,7.303671,25.000000,67.851562,1.310000,0.870000,-81.776008
1461766396.999985,42.356867,-71.096181,7.314610,25.000000,67.500000,1.310000,0.870000,-77.362762
1461766397.999985,42.356876,-71.096163,7.203700,25.000000,65.039062,1.330000,0.870000,46.583785
1461766398.999985,42.356886,-71.096145,7.326722,25.000000,65.742188,1.340000,0.870000,76.793750
1461766399.999985,42.356894,-71.096128,7.276031,25.000000,69.257812,1.280000,0.870000,52.098133
1461766400.999985,42.356903,-71.096113,7.337072,25.000000,68.906250,1.300000,0.870000,35.758831
1461766401.999985,42.356910,-71.096097,7.308616,25.000000,69.257812,1.300000,0.870000,29.450351
1461766402.999985,42.356917,-71.096081,7.264819,25.000000,69.609375,1.300000,0.870000,66.709092
1461766403.999985,42.356925,-71.096063,7.333087,25.000000,59.062500,1.550000,0.870000,-95.634639
1461766404.999985,42.356935,-71.096044,7.387024,25.000000,49.921875,1.780000,0.870000,-20.746537
