TimeStamp,Heading,Accuracy
2016-05-11 00:52:52 +0000,173.049500,25.000000
2016-05-11 00:52:56 +0000,178.176147,25.000000
2016-05-11 00:52:58 +0000,172.923172,25.000000
2016-05-11 00:53:02 +0000,167.401886,25.000000
2016-05-11 00:53:03 +0000,173.078934,25.000000
2016-05-11 00:53:04 +0000,167.804932,25.000000
2016-05-11 00:53:04 +0000,173.028961,25.000000
2016-05-11 00:53:05 +0000,167.728470,25.000000
2016-05-11 00:53:05 +0000,173.374313,25.000000
2016-05-11 00:53:06 +0000,167.272644,25.000000
2016-05-11 00:53:07 +0000,172.586365,25.000000
2016-05-11 00:53:08 +0000,177.839737,25.000000
2016-05-11 00:53:09 +0000,172.502426,25.000000
2016-05-11 00:53:10 +0000,177.757782,25.000000
2016-05-11 00:53:10 +0000,172.538513,25.000000
2016-05-11 00:53:10 +0000,177.891449,25.000000
2016-05-11 00:53:11 +0000,172.642242,25.000000
2016-05-11 00:53:12 +0000,177.964996,25.000000
2016-05-11 00:53:12 +0000,172.403793,25.000000
2016-05-11 00:53:16 +0000,167.201279,25.000000
